review,sentiment
"I was searching through Hollywood video last night with a friend trying to find a good-looking horror movie to watch over the New Year's weekend. As I was looking through the shelves, ""Severed"" spotted my eye, and I grabbed it off the shelf and it looked like it might be a decent B-grade horror movie. The cover looked fairly good. The plot sounded semi-interesting. So I rented it. What a mistake. Don't be fooled by the cover, which actually looks decent. I'm thinking that more money was spent on the cover artwork than the movie itself. The film follows two police detectives who are tracking down a voodoo-inspired, ritualistic serial killer called ""The Head Hunter"", who is decapitating victims left and right in some unnamed city (probably Los Angeles), and they become drawn into his world of ritualized murder.<br /><br />Story sound somewhat good? Well, it is, and this movie could've been halfway decent. But good God, it was bad! Almost everything about it was laughable. The opening scene features some redheaded actress in a car trying to talk on this huge, outdated cell phone, and for whatever reason, she goes outside and talks to some guy. Then, a shadow comes up behind them, hacks off his head, and the girl drops to the ground and starts crawling (for absolutely no reason) while trying to dial 911. Sound ridiculous? Yep, you bet it is. The entire movie looks like it was filmed on a VHS-quality camera, and I'm assuming it was. The acting was mostly awful, and the special effects were far from believable. And the scenes with the policemen on the phone were awful - the voice on the other line was echoing and it sounded like it was being recorded in someone's bathroom. Everything about this movie was simply amateurish and tedious, and it didn't hold my interest for very long, and I often found myself bored and tired, mostly because of the bad acting and the horrible cinematography. The pacing was bad. Everything was just bad.<br /><br />Overall, ""Severed"" is a failed attempt at what could have been a decent B-movie. The plot was good and I think if this film had been handled better and had a higher budget, it could've been alright. But this movie fell flat on it's face. If you're expecting something semi-decent, you'll be sorely disappointed. Only recommended if you can tolerate D-grade horror flicks. Otherwise, you'll probably want to stay away from this straight-to-video garbage. It had a little potential, but it was beyond a mess. 1/10.",negative
"It was easy to dismiss this film as hyperbole at the time of its release. Fonda, Douglas and Lemmon were known ""lefties"", but the accident at Three Mle Island provided shocking context to this fictional drama.<br /><br />This film works on many levels, taking shots at both public utilities and TV news. 1979 was the zenith of the infamous ""Happy Talk"" format of TV news (see also ""Ron Burgundy"") and it's on display here in all its glory. The sonorous anchor grimly reads a story about a ""grinding head-on collision"" before cheerfully introducing Kimberley Wells (Fonda), doing a story about a veterinarian who makes house (or is that ""aquarium?"") calls. The show's producer and the station manager argue about content - or lack thereof - behind the scenes.<br /><br />There are a few technical errors. The PR flack (James Hampton) shows Fonda and Douglas the requisite scale model of a pressurized water reactor plant, built by Westinghouse. Later, as Lemmon and Wilford Brimley (nicely playing Lemmon's friend/colleague, caught between duty and loyalty) fight a sudden crisis in the plant' s control room, they're obviously running a boiling-water plant (built by GE.) A small point, but curious, considering how many details the screenwriters got right.<br /><br />Like any good drama, the film asks more questions than it answers. The real-world accident at TMI proves the film's basic premise. The working title for the film was originally ""Power"", and you'll see why. As nuclear power prepares to make a comeback in these days of $3 gas, ""The China Syndrome"" is as relevant today as it was over 25 years ago.",positive
"Once again I took a chance and rented this bag of crap. Billed as a horror flick, there wasn't one scene, not one, that was even remotely scarey. NOT ONE!! Sure there was some nudity, but all the lesbian action got a little old. I guess maybe that was suppose to be this movie's saving grace? And Dan, what an annoying ass bag!! Right from the beginning I knew I was in for it when good ol' Dan first spoke. And he was suppose to be intimidating? What a laugh!! All in all, this movie is dreadfully awful! How in the hell do movies like this get made? If you want a movie with a few thrills in it, don't rent this one. This movie is about as thrilling as the Teletubbies.",negative
"I had high hopes when I went into the theatre-- having seen the trailer I was as hyped as the next person to see great talent participate in the making of a story with a beautiful premise.<br /><br />However, it's disappointing to see this talent laid waste by the poor composition of songs-the words are chunky and cheesy, probably because it was composed with a more western theme. I wouldn't find it difficult to imagine the same melodies with French or English lyrics. In Mandarin, they just sound strange.<br /><br />The musical items were also cut together badly-- far too quickly to be enjoyable, and the shots of the actors looking anguished lasted far too long.<br /><br />The special effects are the next disappointment. Suffice it to say, it is highly obvious where the special effects start and stop.<br /><br />It's not Moulin Rouge, and it's not In the Mood either, inspite of the occasional (and very similar) slow waltz theme. Altogether, and hour too long to tell a simple story.",negative
"The story of a little girl who was driven once by fear and now by pain, she becomes woman and a vengeful crime fighter. Her power is to manifest strong anime characters onto herself. This movie fuses animation with live action as she wields her animated sword through all that stands before her. She struggles to deal with life, her demons, and her fears.<br /><br />Young Emily watched her parents fight and argue. She watched her Dad leave her motherless. Emily soon discovered she had the power to do something about it. Emily grew through life traveling as a loner and at night she had the power to make a difference in the world.<br /><br />This movie is a great blend of animation and real action. There are many themes and metaphors that run deep through the movie. This movie is broke up as a 12 part series.",positive
This should not have been listed as a Colombo because in my opinion it does not resemble any of the other Colombo ever made. This should have been listed as a movie starring Peter Falk and not playing the caracter of Colombo because it does not do justice at all to our great lieutenant Colombo.,negative
"IÂ´ve seen this at the Fantasy Filmfest in Cologne and left the cinema halfway through this ""movie"" (with a bunch of other people), so maybe IÂ´m not the right one to comment on it, but I think the fact of leaving ""S.C."" is reason enough to do so. ""S.C."" is a different film. People who need a coherent narration, characters or a plotline wonÂ´t find anything in this one. ItÂ´s supposed to be an experimental film, relying on the power of images. But these images have no power. They are so forced in their intention of simply grossing people out, that they have nothing else to say. The gibberish of the off-narrator is simply boring, the visuals are cheap. OK, the effects are good, but if thatÂ´s the only thing, why care? Husseins film wants to be shocking and thought-provoking - instead it is boring and annoying in its non-creativity. Note: Not every movie without a story is art and there is absolutely no creativity in breaking taboos anymore - especially not if everything is executed as bad as in ""S.C."". IÂ´d suggest director Hussein should either visit a psychiatrist or a filmschool, before he mistakes crap for art again. Note: I never want to see a baby getting slashed during birth again.",negative
"Leno talks through his punch lines. This spoils the joke, for those of you who haven't figured it out. His show is held in a micro sized studio for a reason, or two reasons -- the small amount of laughter will be amplified, and few want to see him. Letterman's set is the polar opposite -- Ed Sullivan would be proud and the balcony is always full.<br /><br />NBC, tacky NBC, will never get it. Founder David Sarnoff's megalomaniacal enterprise continues to be all about the money. At least CBS has a bit of a family feel to it.<br /><br />Leno collects cars, or is it stamps, while Letterman races cars. The difference is informative.<br /><br />When I chatted I used to ask other chatters to email me if Leno _ever_ said something that was funny. I never got a single email. Letterman has superb timing. He also can re-use the most unfunny joke in such a way that it becomes one of the funniest things in that night's show.<br /><br />Letterman has built other careers. Paul is now well known and respected in his own musical right. Even Paul's other band members get recognition and career boosting. Biff Henderson has become a name America knows of. Even the businesses in the same block as the Ed Sullivan theater get a boost. What has Leno ever done for anyone else? Personally, I am glad that Dave moved and Leno got the Carson gig. I never watched NBC shows before and had no reason to after.<br /><br />The Top Ten list is an American icon. So is Letterman. Leno is a caricaturist's dream, nothing more.",positive
"""Sir"" John Gielgud must have become senile to star in a mess of a movie like this one.;<br /><br />This is one of those films, I suppose, that is considered ""art,"" but don't be fooled.....it's garbage. Stick to the ""art"" you can admire in a frame because the films that are labeled as such are usually unintelligible forgeries like this.<br /><br />In this masterpiece, Giegud recites Shakespeare's ""The Tempest"" while the camera pans away to nude people. one of them a little kid urinating in a swimming pool. Wow, this is heady stuff and real ""art,"" ain't it?? That's just one example. Most of the story makes no sense, is impossible to follow and, hence, is one that Liberal critics are afraid to say they didn't ""understand"" so they give it high marks to save their phony egos. You want Shakespeare? Read his books.",negative
"I'm not surprised that this film did well at the Hamptons Film Festival. It is a shallow film that would appeal well to shallow people. Two actors pretending to be actors in a relationship who fight and look for a lost dog. The film is allegedly exploring the dynamics of the relationship, however, the relationship is far too petty to merit any such exploration. This couple has one dimension: they fight, they tease, then they make love and fight some more. There brief moment of tenderness does not reveal any possible reason that these two would be involved with each other given their venomous and volatile relationship. Beautifully shot, excellent score, but without anything of merit in the script or characters, this short is just that.",negative
