Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
85,5.2,3.9,4.0,1.8,Iris-versicolor
89,5.5,4.1,3.2,2.1,Iris-setosa
67,4.5,4.5,1.7,0.6,Iris-setosa
99,12.8,5.5,7.9,4.1,Iris-virginica
99,5.8,2.5,1.4,-0.3,Iris-setosa
95,5,1.7,6.9,2.3,Iris-virginica
61,6.7,4.1,3.2,3.5,Iris-setosa
98,5.1,2.2,3.9,1.7,Iris-versicolor
55,4.1,2.3,2.6,0.7,Iris-setosa
67,6.8,3.2,5.6,2.0,Iris-versicolor
98,6.4,3.0,5.7,2.3,Iris-virginica
43,9.1,2.4,6.3,-1.0,Iris-virginica
67,5.2,2.4,6.2,2.1,Iris-setosa
23,6.3,3.5,5.9,1.3,Iris-virginica
42,7.1,3.3,5.5,2.2,Iris-virginica
94,7.1,3.3,5.7,0.6,Iris-versicolor
42,5.8,2.5,4.6,2.2,Iris-versicolor
99,3.8,4.1,1.6,-0.7,Iris-setosa
41,5.5,3.6,1.8,1.3,Iris-setosa
85,5.9,3.2,3.5,2.5,Iris-setosa
123,5.7,3.3,4.1,1.2,Iris-setosa
83,4.5,1.7,3.6,0.7,Iris-setosa
68,4.7,3.4,5.3,1.4,Iris-versicolor
67,6.2,3.8,4.9,1.3,Iris-versicolor
72,6.9,3.1,4.4,1.5,Iris-setosa
54,7.7,3.3,0.5,1.7,Iris-setosa
99,4.8,2.6,4.9,1.6,Iris-versicolor
67,7.8,3.1,6.5,1.7,Iris-virginica
1001,5.8,3.5,3.2,1.5,Iris-virginica
67,6.2,2.2,5.7,1.3,Iris-versicolor
67,4.8,2.0,6.2,3.0,Iris-versicolor
63,5.1,3.8,2.5,1.7,Iris-setosa
43,4.9,3.2,1.6,0.9,Iris-setosa
67,6.1,3.6,1.1,0.5,Iris-setosa
45,9.1,3.6,6.4,2.6,Iris-virginica
67,5.3,2.4,1.9,1.0,Iris-versicolor
100,6.5,3.5,1.9,0.7,Iris-virginica
99,7.1,3.8,1.4,1.1,Iris-setosa
91,6.3,3.3,6.0,1.9,Iris-virginica
65,6.2,2.3,4.0,1.1,Iris-versicolor
12,5.8,2.5,2.0,1.1,Iris-setosa
99,6.4,2.8,4.8,1.0,Iris-versicolor
101,5.7,2.2,5.1,3.8,Iris-virginica
44,5.9,3.4,4.0,6.3,Iris-virginica
35,5.9,2.4,1.8,1.5,Iris-versicolor
62,6.4,3.1,6.3,2.9,Iris-versicolor
89,6.0,4.5,5.8,2.7,Iris-virginica
90,5.2,3.4,2.1,1.1,Iris-versicolor
43,5.1,3.8,5.5,-0.2,Iris-versicolor
81,7.5,3.5,6.9,1.9,Iris-virginica
