Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,4.0,6.2,-3.6,1.4,Iris-setosa
2,5.2,2.8,3.0,-1.0,Iris-setosa
3,6.4,-1.0,6.8,3.2,Iris-virginica
4,5.2,0.7,1.6,-2.2,Iris-virginica
5,7.1,4.1,4.6,1.6,Iris-virginica
6,6.3,3.5,2.2,0.2,Iris-setosa
7,6.5,1.8,5.5,-1.2,Iris-versicolor
8,6.8,4.2,3.4,3.9,Iris-setosa
9,5.1,3.9,4.9,0.7,Iris-virginica
10,4.9,2.9,4.3,-0.4,Iris-virginica
11,5.5,3.4,4.5,1.6,Iris-versicolor
12,7.2,4.0,1.0,1.2,Iris-setosa
13,6.6,3.0,4.2,1.3,Iris-versicolor
14,4.8,1.7,6.0,-0.4,Iris-versicolor
15,5.0,3.6,1.0,-0.5,Iris-virginica
16,4.7,4.0,5.7,-1.0,Iris-virginica
17,6.4,5.4,3.1,3.6,Iris-setosa
18,4.8,2.0,3.1,0.5,Iris-setosa
19,9.5,5.6,7.3,1.6,Iris-virginica
20,6.2,2.0,5.9,-0.8,Iris-versicolor
21,3.3,-0.2,7.7,0.3,Iris-virginica
22,5.0,3.1,1.4,0.8,Iris-setosa
23,5.6,2.5,3.2,5.8,Iris-virginica
24,5.5,3.6,1.7,1.9,Iris-versicolor
25,2.9,7.7,6.7,1.0,Iris-versicolor
26,0.8,3.6,0.8,-2.5,Iris-setosa
27,7.1,3.9,1.8,0.4,Iris-virginica
28,5.3,0.3,2.2,-4.5,Iris-versicolor
29,6.9,5.7,6.4,2.7,Iris-virginica
30,6.4,2.6,5.2,1.8,Iris-versicolor
31,6.6,3.7,3.3,1.5,Iris-versicolor
32,5.7,5.3,5.5,2.9,Iris-virginica
33,6.2,4.9,3.1,1.1,Iris-setosa
34,11.7,5.2,7.9,3.1,Iris-virginica
35,4.8,2.9,3.8,1.0,Iris-versicolor
36,5.9,3.7,3.5,1.7,Iris-versicolor
37,8.6,2.0,5.7,-1.2,Iris-virginica
38,5.7,2.6,7.6,2.8,Iris-setosa
39,8.8,1.4,-0.3,0.2,Iris-setosa
40,7.1,4.1,7.4,3.5,Iris-versicolor
41,5.3,1.0,0.6,-1.1,Iris-setosa
42,5.3,2.5,4.3,1.8,Iris-setosa
43,8.1,2.5,7.6,0.5,Iris-virginica
44,8.0,4.4,7.2,0.9,Iris-virginica
45,5.3,4.8,5.4,0.9,Iris-versicolor
46,5.0,3.2,4.3,1.5,Iris-setosa
47,4.5,3.7,2.2,-1.4,Iris-setosa
48,4.3,2.5,6.7,3.4,Iris-versicolor
49,4.9,2.0,2.7,1.6,Iris-versicolor
50,4.5,3.6,1.6,1.6,Iris-versicolor
51,5.5,0.3,7.3,1.0,Iris-versicolor
52,6.5,1.2,2.0,1.7,Iris-setosa
53,5.3,3.6,5.1,1.1,Iris-versicolor
54,6.6,4.7,5.2,1.9,Iris-setosa
55,5.9,1.6,4.8,3.3,Iris-setosa
56,5.4,3.7,2.4,2.0,Iris-virginica
57,2.9,1.0,8.1,1.3,Iris-virginica
99,5.8,3.8,3.8,0.9,Iris-versicolor
31,5.1,4.1,1.5,1.6,Iris-versicolor
100,4.9,3.4,2.5,-1.0,Iris-setosa
98,6.8,4.0,4.4,1.2,Iris-setosa
92,6.3,5.0,3.2,3.9,Iris-setosa
85,6.7,2.4,4.1,3.7,Iris-virginica
